,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Year,Month,prone_to_calamity,price
829,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
3380,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
5083,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
5387,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
9053,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
10344,for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,10/11/2013,2013,October,0,950000
10351,for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,4/5/2018,2018,April,0,6899000
10722,for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,4/5/2018,2018,April,0,6899000
10756,for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,4/5/2018,2018,April,0,6899000
11196,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
11334,for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,10/11/2013,2013,October,0,950000
11371,for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,10/11/2013,2013,October,0,950000
12408,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
15134,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18682,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18758,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18855,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18883,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18897,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18904,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18920,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18935,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
19090,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
24237,for_sale,3,3,0.45,Agawam,Massachusetts,1001,2314,6/25/2014,2014,June,1,525000
24238,for_sale,3,2,0.36,Agawam,Massachusetts,1001,1276,10/12/2012,2012,October,1,289900
24244,for_sale,3,2,0.46,Agawam,Massachusetts,1001,1476,11/20/1986,1986,November,1,384900
24251,for_sale,3,2,1.76,Agawam,Massachusetts,1001,1968,9/19/2008,2008,September,1,199999
24258,for_sale,4,2,2,Pelham,Massachusetts,1002,1607,7/25/2005,2005,July,0,419000
24264,for_sale,4,3,0.56,Amherst,Massachusetts,1002,2847,6/24/1992,1992,June,0,745000
24266,for_sale,4,4,1.5,Pelham,Massachusetts,1002,4366,7/12/1996,1996,July,0,875000
24267,for_sale,4,4,0.77,Amherst,Massachusetts,1002,3879,8/11/1993,1993,August,0,699900
24268,for_sale,3,2,0.16,Amherst,Massachusetts,1002,1280,8/19/2021,2021,August,0,275000
24273,for_sale,4,2,0.49,Amherst,Massachusetts,1002,1814,6/30/1997,1997,June,0,415000
24275,for_sale,3,2,0.5,Amherst,Massachusetts,1002,1128,9/17/1998,1998,September,0,390000
24276,for_sale,4,3,0.65,Amherst,Massachusetts,1002,3465,10/3/2006,2006,October,0,865000
24277,for_sale,4,3,0.46,Amherst,Massachusetts,1002,2143,6/10/1988,1988,June,0,499900
24279,for_sale,5,4,0.64,Amherst,Massachusetts,1002,2363,7/28/2004,2004,July,0,650000
24283,for_sale,3,4,3.04,Amherst,Massachusetts,1002,2074,6/21/2006,2006,June,0,975000
24284,for_sale,3,2,0.2,Amherst,Massachusetts,1002,1349,9/2/2005,2005,September,0,439900
24288,for_sale,2,2,0.51,Granby,Massachusetts,1033,2000,12/13/2001,2001,December,0,397000
24294,for_sale,2,2,0.92,Whately,Massachusetts,1093,1723,9/25/1997,1997,September,0,389900
24295,for_sale,4,3,3.8,Sunderland,Massachusetts,1375,2768,7/17/2009,2009,July,0,459900
24296,for_sale,4,3,0.29,Chicopee,Massachusetts,1020,1514,7/30/1996,1996,July,1,249900
24297,for_sale,4,2,0.56,Granby,Massachusetts,1033,1523,9/19/2007,2007,September,0,324900
24298,for_sale,3,2,1.02,Belchertown,Massachusetts,1007,1617,10/5/2001,2001,October,0,364900
24299,for_sale,2,1,0.28,Chicopee,Massachusetts,1013,1207,11/29/2011,2011,November,1,240000
24300,for_sale,2,1,0.4,South Hadley,Massachusetts,1075,1034,2/28/1996,1996,February,0,224900
24303,for_sale,3,2,0.11,Ludlow,Massachusetts,1056,2240,10/3/2000,2000,October,0,299500
24306,for_sale,3,3,1.82,Orange,Massachusetts,1364,2096,6/30/2000,2000,June,0,469900
24308,for_sale,4,2,0.3,South Hadley,Massachusetts,1075,2112,5/24/2001,2001,May,0,295000
24310,for_sale,6,2,0.23,Holyoke,Massachusetts,1040,2399,9/5/2017,2017,September,1,339000
24312,for_sale,2,2,0.05,Chicopee,Massachusetts,1013,1200,6/12/2002,2002,June,1,275000
24313,for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590,10/1/2003,2003,October,1,579900
24314,for_sale,3,2,0.3,Holyoke,Massachusetts,1040,1880,2/15/2002,2002,February,1,365000
24315,for_sale,1,1,0.31,Belchertown,Massachusetts,1007,640,8/3/2000,2000,August,0,215000
24317,for_sale,3,2,0.14,Northampton,Massachusetts,1062,1728,5/30/2003,2003,May,0,499000
24318,for_sale,3,2,0.12,Northampton,Massachusetts,1060,1531,5/1/2009,2009,May,0,489900
24322,for_sale,4,3,0.56,Amherst,Massachusetts,1002,2847,6/24/1992,1992,June,0,745000
24324,for_sale,3,4,3.04,Amherst,Massachusetts,1002,2074,6/21/2006,2006,June,0,975000
24328,for_sale,1,1,0.4,Barre,Massachusetts,1005,634,10/28/2003,2003,October,0,65000
24334,for_sale,3,1,0.12,Barre,Massachusetts,1005,1175,12/13/1996,1996,December,0,273900
24336,for_sale,4,5,3.97,Barre,Massachusetts,1005,5023,6/24/1988,1988,June,0,849900
24337,for_sale,3,3,4.08,Barre,Massachusetts,1005,2283,5/31/1996,1996,May,0,449900
24340,for_sale,2,1,0.6,Belchertown,Massachusetts,1007,802,6/26/2009,2009,June,0,169999
24341,for_sale,5,3,0.32,Belchertown,Massachusetts,1007,1850,12/14/2012,2012,December,0,299900
24342,for_sale,1,1,0.31,Belchertown,Massachusetts,1007,640,8/3/2000,2000,August,0,215000
24350,for_sale,3,3,1.08,Belchertown,Massachusetts,1007,2360,4/1/2009,2009,April,0,435000
24351,for_sale,3,2,1.02,Belchertown,Massachusetts,1007,1617,10/5/2001,2001,October,0,364900
24353,for_sale,2,3,30,Belchertown,Massachusetts,1007,2130,6/27/2013,2013,June,0,330000
24395,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
24502,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
24814,for_sale,4,4,1.5,Pelham,Massachusetts,1002,4366,7/12/1996,1996,July,0,875000
24868,for_sale,4,2,2,Pelham,Massachusetts,1002,1607,7/25/2005,2005,July,0,419000
24910,for_sale,3,2,0.25,Holyoke,Massachusetts,1040,1637,6/26/2002,2002,June,1,174900
24912,for_sale,5,2,0.13,Holyoke,Massachusetts,1040,1924,10/15/2001,2001,October,1,175000
24913,for_sale,5,2,1.27,Orange,Massachusetts,1364,1495,4/29/2011,2011,April,0,160000
24916,for_sale,2,2,6,Leverett,Massachusetts,1054,1779,5/29/1997,1997,May,0,389900
24919,for_sale,3,1,0.69,Southampton,Massachusetts,1073,1200,7/10/2000,2000,July,0,300000
24928,for_sale,4,2,0.11,Holyoke,Massachusetts,1040,1989,7/10/1992,1992,July,1,239900
24929,for_sale,1,2,0.53,Greenfield,Massachusetts,1301,3792,9/24/2008,2008,September,0,299900
24932,for_sale,3,2,0.22,Easthampton,Massachusetts,1027,2037,11/20/2008,2008,November,1,299900
24934,for_sale,5,2,1.85,South Hadley,Massachusetts,1075,4510,2/1/2005,2005,February,0,759000
24952,for_sale,3,2,0.05,Holyoke,Massachusetts,1040,1644,1/18/2018,2018,January,1,139000
24953,for_sale,2,1,0.25,South Hadley,Massachusetts,1075,800,7/6/2004,2004,July,0,110000
24954,for_sale,3,2,0.25,Holyoke,Massachusetts,1040,4620,12/12/1997,1997,December,1,215000
24962,for_sale,4,2,1.3,Deerfield,Massachusetts,1373,2032,12/13/1993,1993,December,0,386000
24963,for_sale,3,1,3.87,West Springfield,Massachusetts,1089,1008,7/14/1989,1989,July,1,375000
24969,for_sale,4,5,7.81,Hadley,Massachusetts,1035,7000,8/6/1997,1997,August,0,1295000
24977,for_sale,4,4,1.59,Deerfield,Massachusetts,1373,3444,5/17/2002,2002,May,0,799000
24978,for_sale,5,2,0.15,Chicopee,Massachusetts,1020,2316,9/28/2020,2020,September,1,289900
24979,for_sale,4,2,0.17,Chicopee,Massachusetts,1013,2030,12/30/1996,1996,December,1,195500
24982,for_sale,3,5,14.48,Williamsburg,Massachusetts,1038,3112,4/29/2004,2004,April,0,1390000
24996,for_sale,3,3,19.23,Southampton,Massachusetts,1073,2268,11/22/2002,2002,November,0,285000
24997,for_sale,2,1,0.6,Belchertown,Massachusetts,1007,802,6/26/2009,2009,June,0,169999
25001,for_sale,1,1,0.29,Greenfield,Massachusetts,1301,640,3/1/1988,1988,March,0,184900
25002,for_sale,2,1,0.15,Easthampton,Massachusetts,1027,1276,11/27/1996,1996,November,1,195000
25003,for_sale,3,3,0.1,South Hadley,Massachusetts,1075,1781,8/21/2009,2009,August,0,219900
25005,for_sale,2,3,30,Belchertown,Massachusetts,1007,2130,6/27/2013,2013,June,0,330000
25008,for_sale,3,1,0.13,Holyoke,Massachusetts,1040,1456,10/21/2019,2019,October,1,279900
25010,for_sale,3,2,0.5,Amherst,Massachusetts,1002,1128,9/17/1998,1998,September,0,390000
25011,for_sale,2,1,0.22,Greenfield,Massachusetts,1301,816,4/29/1993,1993,April,0,215000
25012,for_sale,3,2,0.25,Northampton,Massachusetts,1062,1609,6/29/2004,2004,June,0,425000
25013,for_sale,4,3,0.46,South Hadley,Massachusetts,1075,2108,9/21/2021,2021,September,0,400000
25014,for_sale,4,5,1.02,Granby,Massachusetts,1033,2396,1/9/2015,2015,January,0,500000
25019,for_sale,5,2,0.38,Northampton,Massachusetts,1060,3364,5/22/1991,1991,May,0,689000
25023,for_sale,4,2,0.13,Chicopee,Massachusetts,1020,1596,3/21/2007,2007,March,1,249987
25038,for_sale,5,3,0.32,Belchertown,Massachusetts,1007,1850,12/14/2012,2012,December,0,299900
25039,for_sale,3,1,0.26,Chicopee,Massachusetts,1020,1048,7/18/2005,2005,July,1,199900
25040,for_sale,4,2,0.14,Holyoke,Massachusetts,1040,2040,8/16/2000,2000,August,1,185000
25043,for_sale,4,2,0.12,Holyoke,Massachusetts,1040,1599,1/31/1996,1996,January,1,214900
25046,for_sale,5,2,0.85,South Hadley,Massachusetts,1075,1605,2/13/2017,2017,February,0,379900
25047,for_sale,3,3,1.08,Belchertown,Massachusetts,1007,2360,4/1/2009,2009,April,0,435000
25051,for_sale,3,1,0.29,Greenfield,Massachusetts,1301,1482,10/31/2001,2001,October,0,275000
25053,for_sale,4,2,0.62,Ludlow,Massachusetts,1056,1988,8/11/2016,2016,August,0,379900
25057,for_sale,3,2,1.07,Greenfield,Massachusetts,1301,1100,8/31/2006,2006,August,0,340000
25058,for_sale,4,3,0.65,Amherst,Massachusetts,1002,3465,10/3/2006,2006,October,0,865000
25060,for_sale,6,4,0.16,Chicopee,Massachusetts,1020,2844,12/30/2019,2019,December,1,300000
25061,for_sale,4,2,0.18,Northampton,Massachusetts,1060,2382,8/2/1990,1990,August,0,824900
25062,for_sale,4,1,0.91,Easthampton,Massachusetts,1027,1404,9/23/2021,2021,September,1,349900
25065,for_sale,4,2,0.11,Chicopee,Massachusetts,1013,1872,8/20/2004,2004,August,1,259900
25067,for_sale,3,2,0.16,Springfield,Massachusetts,1104,1284,8/26/2011,2011,August,1,240000
25069,for_sale,5,5,2,Williamsburg,Massachusetts,1096,4476,6/30/2009,2009,June,0,1290000
25073,for_sale,3,1,0.26,Holyoke,Massachusetts,1040,1096,5/10/2019,2019,May,1,289900
25079,for_sale,2,2,0.23,South Hadley,Massachusetts,1075,1210,5/21/2004,2004,May,0,199900
25081,for_sale,9,10,2.83,Greenfield,Massachusetts,1301,5512,7/1/2004,2004,July,0,945000
25084,for_sale,2,1,2.61,Montague,Massachusetts,1351,936,7/23/1987,1987,July,0,270000
25086,for_sale,4,2,0.59,Hadley,Massachusetts,1035,2394,6/8/2018,2018,June,0,439500
25088,for_sale,3,3,0.14,Holyoke,Massachusetts,1040,1978,6/24/2009,2009,June,1,289000
25089,for_sale,8,4,0.14,Greenfield,Massachusetts,1301,4192,9/28/2011,2011,September,0,299900
25093,for_sale,2,1,0.27,Greenfield,Massachusetts,1301,1200,2/17/2006,2006,February,0,235000
25094,for_sale,3,3,0.4,Easthampton,Massachusetts,1027,1916,1/25/2008,2008,January,1,449000
25097,for_sale,4,2,0.49,Amherst,Massachusetts,1002,1814,6/30/1997,1997,June,0,415000
25098,for_sale,5,4,0.72,Hadley,Massachusetts,1035,4468,1/6/1998,1998,January,0,995000
25100,for_sale,3,2,0.54,Granby,Massachusetts,1033,1336,8/2/2019,2019,August,0,325000
25101,for_sale,3,2,0.16,Amherst,Massachusetts,1002,1280,8/19/2021,2021,August,0,275000
25104,for_sale,2,1,0.5,Northampton,Massachusetts,1062,1072,9/9/1999,1999,September,0,399999
25105,for_sale,4,3,0.46,Amherst,Massachusetts,1002,2143,6/10/1988,1988,June,0,499900
25107,for_sale,4,4,0.91,South Hadley,Massachusetts,1075,2420,10/9/2012,2012,October,0,547500
25110,for_sale,3,2,0.53,Granby,Massachusetts,1033,880,3/19/2018,2018,March,0,299900
25111,for_sale,2,1,0.48,Southampton,Massachusetts,1073,1115,9/29/2000,2000,September,0,319000
25119,for_sale,3,2,0.26,Orange,Massachusetts,1364,1300,4/15/2005,2005,April,0,349990
25125,for_sale,3,2,0.2,Chicopee,Massachusetts,1020,1584,9/18/2020,2020,September,1,299900
25128,for_sale,3,2,0.05,Orange,Massachusetts,1364,1092,5/4/2005,2005,May,0,219900
25130,for_sale,3,1,0.47,Athol,Massachusetts,1331,1268,12/21/2004,2004,December,0,156750
25134,for_sale,6,3,0.31,Holyoke,Massachusetts,1040,2408,12/14/2007,2007,December,1,365000
25135,for_sale,3,1,0.15,Chicopee,Massachusetts,1020,1170,1/3/2008,2008,January,1,219000
25136,for_sale,3,2,0.27,Chicopee,Massachusetts,1013,1265,10/18/2000,2000,October,1,259900
25139,for_sale,4,2,0.17,Holyoke,Massachusetts,1040,2094,8/13/2003,2003,August,1,299987
25140,for_sale,3,2,0.2,Amherst,Massachusetts,1002,1349,9/2/2005,2005,September,0,439900
25141,for_sale,7,4,0.33,Orange,Massachusetts,1364,2538,12/7/1987,1987,December,0,377000
25147,for_sale,3,1,0.34,Easthampton,Massachusetts,1027,1248,1/6/2012,2012,January,1,350000
25148,for_sale,4,2,0.16,Chicopee,Massachusetts,1020,1280,9/11/2020,2020,September,1,375000
25162,for_sale,3,2,0.33,Montague,Massachusetts,1351,1770,6/25/2009,2009,June,0,266000
25165,for_sale,3,1,0.41,Montague,Massachusetts,1351,960,10/17/2002,2002,October,0,240000
25166,for_sale,2,2,0.57,Orange,Massachusetts,1364,924,9/23/2008,2008,September,0,149900
25170,for_sale,4,3,0.18,Holyoke,Massachusetts,1040,4704,4/26/1989,1989,April,1,249900
25174,for_sale,3,1,0.15,Greenfield,Massachusetts,1301,1416,12/15/1998,1998,December,0,235000
25175,for_sale,6,7,4.52,South Hadley,Massachusetts,1075,6250,11/2/2005,2005,November,0,1500000
25177,for_sale,5,2,2.11,Athol,Massachusetts,1331,3024,4/27/1984,1984,April,0,275000
25178,for_sale,3,1,0.4,Williamsburg,Massachusetts,1096,1529,4/30/2015,2015,April,0,265000
25181,for_sale,4,2,0.13,Holyoke,Massachusetts,1040,1529,3/22/2021,2021,March,1,229000
25185,for_sale,3,1,0.65,West Springfield,Massachusetts,1089,1424,6/28/2004,2004,June,1,299000
25187,for_sale,3,1,0.8,Easthampton,Massachusetts,1027,1040,7/21/2006,2006,July,1,309000
25191,for_sale,4,1,1.06,Holyoke,Massachusetts,1040,1243,8/30/1988,1988,August,1,279900
25195,for_sale,6,2,0.13,Chicopee,Massachusetts,1020,2288,6/3/2019,2019,June,1,294900
25200,for_sale,4,4,0.77,Amherst,Massachusetts,1002,3879,8/11/1993,1993,August,0,699900
25202,for_sale,5,4,0.64,Amherst,Massachusetts,1002,2363,7/28/2004,2004,July,0,650000
27103,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
27808,for_sale,4,3,1.6,Blandford,Massachusetts,1008,1960,5/1/2015,2015,May,0,399900
27809,for_sale,4,3,0.69,Blandford,Massachusetts,1008,3476,7/2/2007,2007,July,0,675000
27818,for_sale,4,3,100.5,Blandford,Massachusetts,1008,3063,8/29/2007,2007,August,0,1237542
27821,for_sale,4,3,2.34,Coventry,Connecticut,6238,3320,6/1/2021,2021,June,0,579900
27822,for_sale,2,2,0.51,Granby,Massachusetts,1033,2000,12/13/2001,2001,December,0,397000
27824,for_sale,1,1,0.4,Barre,Massachusetts,1005,634,10/28/2003,2003,October,0,65000
27826,for_sale,2,1,0.91,East Windsor,Connecticut,6016,960,6/6/2012,2012,June,0,215000
27828,for_sale,2,1,0.36,Vernon,Connecticut,6066,860,9/2/2016,2016,September,0,144900
27830,for_sale,4,2,0.38,East Windsor,Connecticut,6016,1617,9/30/1999,1999,September,0,289900
27832,for_sale,3,2,0.4,Ware,Massachusetts,1082,1911,7/27/1998,1998,July,0,239900
27836,for_sale,3,3,0.92,Ellington,Connecticut,6029,1960,6/28/2010,2010,June,0,349900
27837,for_sale,4,3,0.29,Chicopee,Massachusetts,1020,1514,7/30/1996,1996,July,1,249900
27838,for_sale,3,1,1.43,East Windsor,Connecticut,6016,1351,6/5/2009,2009,June,0,239900
27839,for_sale,3,2,0.87,Vernon,Connecticut,6066,1850,11/9/2015,2015,November,0,299900
27840,for_sale,4,1,0.64,Longmeadow,Massachusetts,1028,1296,6/23/2017,2017,June,0,329000
27841,for_sale,12,3,0.15,Springfield,Massachusetts,1105,3902,12/24/2014,2014,December,1,369900
27845,for_sale,4,3,1.64,Stafford,Connecticut,6076,2056,7/11/2006,2006,July,0,399900
27846,for_sale,3,2,0.15,Springfield,Massachusetts,1118,1613,1/30/2014,2014,January,1,299900
27848,for_sale,5,3,0.14,Springfield,Massachusetts,1108,2328,11/20/1987,1987,November,1,289900
27850,for_sale,3,2,0.51,Manchester,Connecticut,6040,1828,7/31/2000,2000,July,1,349900
27851,for_sale,3,1,0.23,Enfield,Connecticut,6082,1220,11/14/2003,2003,November,0,249900
27852,for_sale,3,1,0.69,Stafford,Connecticut,6076,1192,11/17/2003,2003,November,0,300000
27855,for_sale,4,4,0.21,Springfield,Massachusetts,1129,2016,7/24/2007,2007,July,1,350000
27856,for_sale,3,1,0.39,Palmer,Massachusetts,1069,1166,1/16/2013,2013,January,0,260000
27857,for_sale,3,2,0.26,Ellington,Connecticut,6029,1174,7/9/2008,2008,July,0,248900
27861,for_sale,9,3,0.11,Springfield,Massachusetts,1151,3656,6/18/2008,2008,June,1,375000
27862,for_sale,4,2,1,Brimfield,Massachusetts,1010,1765,11/26/2003,2003,November,0,129900
27863,for_sale,2,1,0.35,Brimfield,Massachusetts,1010,814,1/16/2004,2004,January,0,164900
27866,for_sale,4,4,1.52,Brimfield,Massachusetts,1010,3408,3/30/2005,2005,March,0,559000
27871,for_sale,3,4,5.93,Brimfield,Massachusetts,1010,5500,4/1/1993,1993,April,0,899900
27875,for_sale,3,1,0.25,Chester,Massachusetts,1011,1367,11/13/2009,2009,November,0,115900
27888,for_sale,1,1,0.47,Cummington,Massachusetts,1026,608,10/25/2019,2019,October,0,160000
27890,for_sale,3,3,21,Granville,Massachusetts,1034,3362,6/27/1996,1996,June,0,649000
27893,for_sale,3,2,0.24,Becket,Massachusetts,1223,1422,7/20/1994,1994,July,0,149900
27894,for_sale,3,3,0.14,Springfield,Massachusetts,1104,1588,6/9/2005,2005,June,1,289900
27897,for_sale,4,3,0.29,Chicopee,Massachusetts,1020,1514,7/30/1996,1996,July,1,249900
27898,for_sale,3,2,1.13,Westfield,Massachusetts,1085,2448,10/29/2004,2004,October,0,439900
27899,for_sale,3,2,0.49,Agawam,Massachusetts,1030,1708,8/6/1992,1992,August,1,379900
27903,for_sale,2,1,3,Savoy,Massachusetts,1256,980,9/20/2006,2006,September,0,149900
27904,for_sale,2,1,0.12,Springfield,Massachusetts,1104,864,6/30/1994,1994,June,1,195000
27906,for_sale,3,2,4.28,Southwick,Massachusetts,1077,1410,3/28/1990,1990,March,0,349900
27910,for_sale,3,2,0.37,West Springfield,Massachusetts,1089,1269,11/17/2017,2017,November,1,299900
27911,for_sale,4,3,0.69,Blandford,Massachusetts,1008,3476,7/2/2007,2007,July,0,675000
27912,for_sale,4,2,0.56,Granby,Massachusetts,1033,1523,9/19/2007,2007,September,0,324900
27916,for_sale,3,2,0.12,Northampton,Massachusetts,1060,1531,5/1/2009,2009,May,0,489900
27918,for_sale,3,2,0.34,Westfield,Massachusetts,1085,1424,11/10/2021,2021,November,0,299413
27922,for_sale,2,2,0.05,Chicopee,Massachusetts,1013,1200,6/12/2002,2002,June,1,275000
27924,for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590,10/1/2003,2003,October,1,579900
27925,for_sale,6,3,0.14,West Springfield,Massachusetts,1089,2673,11/28/2006,2006,November,1,389999
27927,for_sale,3,2,0.34,Westfield,Massachusetts,1085,1536,3/30/2018,2018,March,0,349900
27932,for_sale,2,1,0.28,Chicopee,Massachusetts,1013,1207,11/29/2011,2011,November,1,240000
27936,for_sale,4,2,0.17,Chicopee,Massachusetts,1013,2030,12/30/1996,1996,December,1,195500
27942,for_sale,2,2,0.05,Chicopee,Massachusetts,1013,1200,6/12/2002,2002,June,1,275000
27943,for_sale,3,2,0.27,Chicopee,Massachusetts,1013,1265,10/18/2000,2000,October,1,259900
27946,for_sale,4,2,0.11,Chicopee,Massachusetts,1013,1872,8/20/2004,2004,August,1,259900
27953,for_sale,4,3,0.29,Chicopee,Massachusetts,1020,1514,7/30/1996,1996,July,1,249900
27956,for_sale,3,1,0.26,Chicopee,Massachusetts,1020,1048,7/18/2005,2005,July,1,199900
27958,for_sale,4,2,0.13,Chicopee,Massachusetts,1020,1596,3/21/2007,2007,March,1,249987
27959,for_sale,5,2,0.15,Chicopee,Massachusetts,1020,2316,9/28/2020,2020,September,1,289900
27960,for_sale,3,2,0.2,Chicopee,Massachusetts,1020,1584,9/18/2020,2020,September,1,299900
27964,for_sale,6,4,0.16,Chicopee,Massachusetts,1020,2844,12/30/2019,2019,December,1,300000
27966,for_sale,3,1,0.15,Chicopee,Massachusetts,1020,1170,1/3/2008,2008,January,1,219000
27971,for_sale,6,2,0.13,Chicopee,Massachusetts,1020,2288,6/3/2019,2019,June,1,294900
27975,for_sale,4,2,0.16,Chicopee,Massachusetts,1020,1280,9/11/2020,2020,September,1,375000
27983,for_sale,3,2,0.22,Easthampton,Massachusetts,1027,2037,11/20/2008,2008,November,1,299900
27984,for_sale,2,1,0.15,Easthampton,Massachusetts,1027,1276,11/27/1996,1996,November,1,195000
27988,for_sale,3,1,0.8,Easthampton,Massachusetts,1027,1040,7/21/2006,2006,July,1,309000
27989,for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590,10/1/2003,2003,October,1,579900
27990,for_sale,3,3,0.4,Easthampton,Massachusetts,1027,1916,1/25/2008,2008,January,1,449000
27994,for_sale,4,1,0.91,Easthampton,Massachusetts,1027,1404,9/23/2021,2021,September,1,349900
27998,for_sale,3,1,0.34,Easthampton,Massachusetts,1027,1248,1/6/2012,2012,January,1,350000
28009,for_sale,4,2,1.03,East Longmeadow,Massachusetts,1028,1638,8/28/2009,2009,August,0,349900
28011,for_sale,1,1,0.09,East Longmeadow,Massachusetts,1028,793,8/10/2001,2001,August,0,129000
28012,for_sale,4,1,0.64,Longmeadow,Massachusetts,1028,1296,6/23/2017,2017,June,0,329000
28013,for_sale,4,5,0.26,East Longmeadow,Massachusetts,1028,4122,1/24/2003,2003,January,0,674444
28014,for_sale,3,2,0.23,East Longmeadow,Massachusetts,1028,1259,5/10/2019,2019,May,0,249900
28017,for_sale,2,1,0.38,East Longmeadow,Massachusetts,1028,988,4/28/2005,2005,April,0,279000
28018,for_sale,3,1,0.8,East Longmeadow,Massachusetts,1028,1196,10/24/2019,2019,October,0,259000
28019,for_sale,4,3,0.28,East Longmeadow,Massachusetts,1028,2500,6/21/2019,2019,June,0,399000
28021,for_sale,4,4,0.97,East Longmeadow,Massachusetts,1028,3000,9/28/2006,2006,September,0,739900
28024,for_sale,2,2,0.46,East Longmeadow,Massachusetts,1028,1174,12/17/2001,2001,December,0,299000
28025,for_sale,4,1,0.22,East Longmeadow,Massachusetts,1028,1425,3/26/2013,2013,March,0,304900
28026,for_sale,2,1,0.57,East Longmeadow,Massachusetts,1028,1020,8/20/2001,2001,August,0,409900
28033,for_sale,1,1,0.47,Cummington,Massachusetts,1026,608,10/25/2019,2019,October,0,160000
28034,for_sale,3,3,21,Granville,Massachusetts,1034,3362,6/27/1996,1996,June,0,649000
28035,for_sale,3,2,0.49,Agawam,Massachusetts,1030,1708,8/6/1992,1992,August,1,379900
28040,for_sale,4,3,0.61,Agawam,Massachusetts,1030,2857,7/31/2006,2006,July,1,589900
28043,for_sale,3,1,0.28,Agawam,Massachusetts,1030,1260,9/15/2006,2006,September,1,300000
28044,for_sale,5,4,0.53,Agawam,Massachusetts,1030,2094,7/31/1996,1996,July,1,439900
28047,for_sale,3,1,1.41,Hardwick,Massachusetts,1031,1092,12/8/1989,1989,December,0,269900
28057,for_sale,1,1,0.47,Cummington,Massachusetts,1026,608,10/25/2019,2019,October,0,160000
28061,for_sale,2,2,0.92,Whately,Massachusetts,1093,1723,9/25/1997,1997,September,0,389900
28064,for_sale,4,2,0.56,Granby,Massachusetts,1033,1523,9/19/2007,2007,September,0,324900
28065,for_sale,2,1,3,Savoy,Massachusetts,1256,980,9/20/2006,2006,September,0,149900
28067,for_sale,2,1,0.4,South Hadley,Massachusetts,1075,1034,2/28/1996,1996,February,0,224900
28071,for_sale,3,2,0.3,Holyoke,Massachusetts,1040,1880,2/15/2002,2002,February,1,365000
28074,for_sale,9,6,0.19,Adams,Massachusetts,1220,5364,6/25/1998,1998,June,0,399900
28076,for_sale,4,2,0.3,South Hadley,Massachusetts,1075,2112,5/24/2001,2001,May,0,295000
28077,for_sale,6,2,0.23,Holyoke,Massachusetts,1040,2399,9/5/2017,2017,September,1,339000
28079,for_sale,4,3,0.41,Easthampton,Massachusetts,1027,2590,10/1/2003,2003,October,1,579900
28081,for_sale,3,2,0.12,Northampton,Massachusetts,1060,1531,5/1/2009,2009,May,0,489900
28083,for_sale,2,2,0.28,Adams,Massachusetts,1220,1206,10/28/2011,2011,October,0,159900
28084,for_sale,4,1,1.06,Holyoke,Massachusetts,1040,1243,8/30/1988,1988,August,1,279900
