,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Year,Month,prone_to_calamity,price
53618,for_sale,3,1,3.87,West Springfield,Massachusetts,1089,1008,7/14/1989,1989,July,1,375000
53621,for_sale,4,2,1.3,Deerfield,Massachusetts,1373,2032,12/13/1993,1993,December,0,386000
53625,for_sale,3,2,0.55,Springfield,Massachusetts,1151,1365,10/20/1979,1979,October,1,249900
53629,for_sale,4,1,46,Worthington,Massachusetts,1098,2180,10/22/1996,1996,October,0,750000
53631,for_sale,5,4,58,Savoy,Massachusetts,1256,4685,10/17/1995,1995,October,0,975000
53632,for_sale,3,2,0.5,Amherst,Massachusetts,1002,1128,9/17/1998,1998,September,0,390000
53633,for_sale,5,2,0.38,Northampton,Massachusetts,1060,3364,5/22/1991,1991,May,0,689000
53634,for_sale,4,4,1.59,Deerfield,Massachusetts,1373,3444,5/17/2002,2002,May,0,799000
53637,for_sale,5,2,0.15,Chicopee,Massachusetts,1020,2316,9/28/2020,2020,September,1,289900
53647,for_sale,3,3,19.23,Southampton,Massachusetts,1073,2268,11/22/2002,2002,November,0,285000
53653,for_sale,1,1,0.29,Greenfield,Massachusetts,1301,640,3/1/1988,1988,March,0,184900
53654,for_sale,2,1,0.15,Easthampton,Massachusetts,1027,1276,11/27/1996,1996,November,1,195000
53656,for_sale,3,3,0.1,South Hadley,Massachusetts,1075,1781,8/21/2009,2009,August,0,219900
53657,for_sale,3,1,0.13,Holyoke,Massachusetts,1040,1456,10/21/2019,2019,October,1,279900
53659,for_sale,4,5,1.02,Granby,Massachusetts,1033,2396,1/9/2015,2015,January,0,500000
53663,for_sale,2,1,0.22,Greenfield,Massachusetts,1301,816,4/29/1993,1993,April,0,215000
53665,for_sale,3,2,0.25,Northampton,Massachusetts,1062,1609,6/29/2004,2004,June,0,425000
53666,for_sale,4,3,0.46,South Hadley,Massachusetts,1075,2108,9/21/2021,2021,September,0,400000
53668,for_sale,4,2,0.13,Chicopee,Massachusetts,1020,1596,3/21/2007,2007,March,1,249987
53675,for_sale,4,2,0.18,Northampton,Massachusetts,1060,2382,8/2/1990,1990,August,0,824900
53694,for_sale,4,2,0.14,Holyoke,Massachusetts,1040,2040,8/16/2000,2000,August,1,185000
53695,for_sale,5,2,0.85,South Hadley,Massachusetts,1075,1605,2/13/2017,2017,February,0,379900
53696,for_sale,3,1,0.26,Chicopee,Massachusetts,1020,1048,7/18/2005,2005,July,1,199900
53698,for_sale,4,2,0.12,Holyoke,Massachusetts,1040,1599,1/31/1996,1996,January,1,214900
53703,for_sale,3,1,0.29,Greenfield,Massachusetts,1301,1482,10/31/2001,2001,October,0,275000
53705,for_sale,3,2,0.54,Granby,Massachusetts,1033,1336,8/2/2019,2019,August,0,325000
53708,for_sale,3,2,1.07,Greenfield,Massachusetts,1301,1100,8/31/2006,2006,August,0,340000
53709,for_sale,2,1,0.48,Southampton,Massachusetts,1073,1115,9/29/2000,2000,September,0,319000
53710,for_sale,6,4,0.16,Chicopee,Massachusetts,1020,2844,12/30/2019,2019,December,1,300000
53711,for_sale,4,3,0.65,Amherst,Massachusetts,1002,3465,10/3/2006,2006,October,0,865000
53715,for_sale,4,1,0.91,Easthampton,Massachusetts,1027,1404,9/23/2021,2021,September,1,349900
53716,for_sale,3,2,0.5,Westfield,Massachusetts,1085,1688,7/9/2004,2004,July,0,329000
53721,for_sale,4,2,0.11,Chicopee,Massachusetts,1013,1872,8/20/2004,2004,August,1,259900
53722,for_sale,3,2,0.16,Springfield,Massachusetts,1104,1284,8/26/2011,2011,August,1,240000
53723,for_sale,5,5,2,Williamsburg,Massachusetts,1096,4476,6/30/2009,2009,June,0,1290000
53725,for_sale,3,1,0.26,Holyoke,Massachusetts,1040,1096,5/10/2019,2019,May,1,289900
53730,for_sale,4,2,0.32,Colrain,Massachusetts,1340,3780,12/11/1998,1998,December,0,75000
53733,for_sale,2,2,0.23,South Hadley,Massachusetts,1075,1210,5/21/2004,2004,May,0,199900
53738,for_sale,9,10,2.83,Greenfield,Massachusetts,1301,5512,7/1/2004,2004,July,0,945000
53740,for_sale,4,2,0.59,Hadley,Massachusetts,1035,2394,6/8/2018,2018,June,0,439500
53741,for_sale,3,3,0.14,Holyoke,Massachusetts,1040,1978,6/24/2009,2009,June,1,289000
53742,for_sale,5,3,0.59,Westfield,Massachusetts,1085,2287,10/2/1989,1989,October,0,324900
53743,for_sale,2,1,2.61,Montague,Massachusetts,1351,936,7/23/1987,1987,July,0,270000
53744,for_sale,8,4,0.14,Greenfield,Massachusetts,1301,4192,9/28/2011,2011,September,0,299900
53747,for_sale,2,1,0.27,Greenfield,Massachusetts,1301,1200,2/17/2006,2006,February,0,235000
53750,for_sale,5,5,2,Bernardston,Massachusetts,1337,4500,8/11/2005,2005,August,0,1125000
53751,for_sale,3,3,0.4,Easthampton,Massachusetts,1027,1916,1/25/2008,2008,January,1,449000
53755,for_sale,4,2,0.49,Amherst,Massachusetts,1002,1814,6/30/1997,1997,June,0,415000
53758,for_sale,3,2,0.16,Amherst,Massachusetts,1002,1280,8/19/2021,2021,August,0,275000
53759,for_sale,2,1,0.5,Northampton,Massachusetts,1062,1072,9/9/1999,1999,September,0,399999
53760,for_sale,5,4,0.72,Hadley,Massachusetts,1035,4468,1/6/1998,1998,January,0,995000
53761,for_sale,4,3,0.46,Amherst,Massachusetts,1002,2143,6/10/1988,1988,June,0,499900
53763,for_sale,3,2,0.53,Granby,Massachusetts,1033,880,3/19/2018,2018,March,0,299900
53766,for_sale,3,1,0.34,Easthampton,Massachusetts,1027,1248,1/6/2012,2012,January,1,350000
53767,for_sale,4,4,0.91,South Hadley,Massachusetts,1075,2420,10/9/2012,2012,October,0,547500
53778,for_sale,3,1,0.4,Williamsburg,Massachusetts,1096,1529,4/30/2015,2015,April,0,265000
53779,for_sale,4,2,17.84,Huntington,Massachusetts,1050,2196,9/8/2014,2014,September,0,380000
53780,for_sale,3,2,0.2,Chicopee,Massachusetts,1020,1584,9/18/2020,2020,September,1,299900
53784,for_sale,6,3,0.31,Holyoke,Massachusetts,1040,2408,12/14/2007,2007,December,1,365000
53790,for_sale,3,2,0.27,Chicopee,Massachusetts,1013,1265,10/18/2000,2000,October,1,259900
53791,for_sale,6,7,4.52,South Hadley,Massachusetts,1075,6250,11/2/2005,2005,November,0,1500000
53792,for_sale,3,1,0.15,Chicopee,Massachusetts,1020,1170,1/3/2008,2008,January,1,219000
53793,for_sale,3,2,0.2,Amherst,Massachusetts,1002,1349,9/2/2005,2005,September,0,439900
53794,for_sale,4,2,0.17,Holyoke,Massachusetts,1040,2094,8/13/2003,2003,August,1,299987
53795,for_sale,2,2,1,Westfield,Massachusetts,1085,1341,1/5/2022,2022,January,0,237900
53800,for_sale,4,2,0.13,Holyoke,Massachusetts,1040,1529,3/22/2021,2021,March,1,229000
53803,for_sale,4,1,0.17,Westfield,Massachusetts,1085,1454,3/12/2012,2012,March,0,259900
53804,for_sale,4,2,0.16,Chicopee,Massachusetts,1020,1280,9/11/2020,2020,September,1,375000
53814,for_sale,3,2,0.33,Montague,Massachusetts,1351,1770,6/25/2009,2009,June,0,266000
53821,for_sale,3,1,0.41,Montague,Massachusetts,1351,960,10/17/2002,2002,October,0,240000
53823,for_sale,6,2,0.62,Russell,Massachusetts,1071,2520,8/12/2016,2016,August,0,250000
53824,for_sale,4,3,0.18,Holyoke,Massachusetts,1040,4704,4/26/1989,1989,April,1,249900
53827,for_sale,5,2,0.6,Westfield,Massachusetts,1085,2700,7/16/2007,2007,July,0,375000
53830,for_sale,3,1,0.15,Greenfield,Massachusetts,1301,1416,12/15/1998,1998,December,0,235000
